#Mean longitude;Mean latitude;Mean altitude;SNR;stddev longitude;stddev latitude;stddev altitude;stddev SNR; label
6.7116493;46.5926765;913.4767442;35;0.0000060;0.0000038;0.4596952;6;Acer_pseudoplatanus
6.7127070;46.5915852;908.0000000;36;nan;0.0000020;0.0000000;7;Acer_pseudoplatanus
6.7122739;46.5922866;913.7073684;34;0.0000143;0.0000050;1.2050108;5;Acer_pseudoplatanus
6.7123534;46.5916190;911.9080645;34;0.0000002;0.0000024;0.0272290;6;Acer_pseudoplatanus
6.7104954;46.5892348;916.1356436;29;0.0000016;0.0000025;0.7117937;7;Acer_pseudoplatanus
6.7102779;46.5892353;913.9000000;30;nan;0.0000007;0.0000205;5;Acer_pseudoplatanus
6.7122249;46.5914632;912.9893333;35;0.0000004;0.0000022;0.0703768;5;Acer_pseudoplatanus
6.7114898;46.5895543;924.2280899;32;0.0000003;nan;0.0540261;6;Acer_pseudoplatanus
6.7122996;46.5916474;912.0342593;35;nan;0.0000006;0.0474576;3;Acer_pseudoplatanus
6.7105473;46.5892512;915.4969231;29;nan;0.0000020;0.0172692;4;Acer_pseudoplatanus
6.7122544;46.5921320;916.3030928;32;0.0000093;0.0000025;1.6597387;5;Acer_pseudoplatanus
6.7122969;46.5916864;912.0047619;34;0.0000003;0.0000024;0.0212959;5;Acer_pseudoplatanus
6.7117774;46.5914244;914.5609756;32;0.0000008;0.0000023;0.1341242;8;Acer_pseudoplatanus
6.7115372;46.5916645;921.0226562;32;nan;0.0000024;0.0627680;3;Acer_pseudoplatanus
6.7106863;46.5894889;917.2000000;31;0.0000003;0.0000019;0.0000668;2;Acer_pseudoplatanus
6.7101772;46.5892192;913.4042105;29;0.0000004;0.0000021;0.0200830;7;Acer_pseudoplatanus
6.7106845;46.5892212;920.4349398;30;0.0000011;0.0000019;0.1616435;6;Acer_pseudoplatanus
6.7104362;46.5893262;915.2093333;30;nan;0.0000029;0.0954615;7;Acer_pseudoplatanus
6.7123418;46.5922955;913.4919540;34;0.0000087;0.0000090;0.5115265;6;Acer_pseudoplatanus
6.7125451;46.5922553;915.3600000;30;0.0000070;0.0000067;1.4888418;9;Acer_pseudoplatanus
6.7127025;46.5915545;908.4000000;35;0.0000001;0.0000025;0.0000653;8;Acer_pseudoplatanus
6.7126757;46.5915984;908.5020833;35;nan;nan;0.0142826;1;Acer_pseudoplatanus
6.7108357;46.5920877;911.9974026;28;0.0000005;nan;0.0663991;7;Acer_pseudoplatanus
6.7122683;46.5916654;912.1878788;35;0.0000001;nan;0.0326374;6;Acer_pseudoplatanus
6.7126014;46.5915842;910.8383178;31;0.0000008;0.0000026;1.7916548;3;Acer_pseudoplatanus
6.7108481;46.5913147;915.6089888;30;0.0000011;0.0000009;0.0882291;2;Acer_pseudoplatanus
6.7127294;46.5914261;909.2052174;34;0.0000003;nan;0.0222378;5;Acer_pseudoplatanus
6.7124258;46.5916785;912.4484848;35;0.0000148;0.0000034;0.6700465;7;Acer_pseudoplatanus
6.7125411;46.5919461;916.1361702;31;0.0000088;0.0000070;1.3586485;7;Acer_pseudoplatanus
6.7126170;46.5913635;910.4980583;35;0.0000001;nan;0.0137987;3;Acer_pseudoplatanus
6.7100692;46.5892738;912.8000000;32;0.0000002;0.0000030;nan;6;Acer_pseudoplatanus
6.7123422;46.5919561;914.6577778;36;0.0000019;0.0000035;0.2999918;6;Acer_pseudoplatanus
6.7121110;46.5926621;913.1154762;33;0.0000014;nan;0.2805157;2;Acer_pseudoplatanus
6.7126242;46.5922130;915.4552083;35;0.0000077;0.0000060;1.8027103;5;Acer_pseudoplatanus
6.7108525;46.5893965;919.8202020;32;0.0000046;0.0000055;1.0124458;4;Acer_pseudoplatanus
6.7124703;46.5919472;915.4470588;34;0.0000052;0.0000032;1.1027333;5;Acer_pseudoplatanus
6.7125886;46.5916260;909.4032787;36;0.0000003;nan;0.0178079;5;Acer_pseudoplatanus
6.7125084;46.5922523;914.0827160;33;0.0000029;0.0000036;0.5610374;8;Acer_pseudoplatanus
6.7113680;46.5896131;924.3273684;31;0.0000010;nan;0.0570173;5;Acer_pseudoplatanus
6.7121266;46.5914153;913.5000000;35;nan;0.0000015;0.0000000;7;Acer_pseudoplatanus
6.7124545;46.5922578;914.2202247;33;0.0000076;0.0000108;0.7101479;7;Acer_pseudoplatanus
6.7106326;46.5893323;916.7358696;29;0.0000061;0.0000046;0.5339723;3;Acer_pseudoplatanus
6.7108241;46.5892912;918.0593750;33;0.0000051;0.0000032;1.0345670;5;Acer_pseudoplatanus
6.7106010;46.5892423;920.0909091;30;0.0000036;0.0000014;0.2165342;4;Acer_pseudoplatanus
6.7106650;46.5893969;916.7000000;30;nan;nan;0.0000519;7;Acer_pseudoplatanus
6.7112308;46.5919920;915.3573333;29;0.0000082;0.0000045;1.0827340;7;Acer_pseudoplatanus
6.7113171;46.5895895;924.2206522;32;0.0000003;nan;0.0853866;2;Acer_pseudoplatanus
6.7113465;46.5901619;927.5323232;33;0.0000032;nan;0.2877388;4;Acer_pseudoplatanus
6.7121200;46.5917291;913.6572816;35;0.0000019;0.0000064;4.4649792;8;Acer_pseudoplatanus
6.7123214;46.5916052;911.9515789;32;0.0000004;0.0000017;0.0499751;4;Acer_pseudoplatanus
6.7099998;46.5893822;912.6903614;31;0.0000004;nan;0.0295120;6;Acer_pseudoplatanus
6.7102013;46.5892482;913.6061224;31;nan;0.0000017;0.0239741;7;Acer_pseudoplatanus
6.7105931;46.5891879;917.6375000;32;0.0000039;0.0000029;0.9506261;4;Acer_pseudoplatanus
6.7111785;46.5915444;914.4641026;28;0.0000049;0.0000035;0.3755251;3;Acer_pseudoplatanus
6.7101518;46.5899362;914.5105263;32;0.0000200;nan;0.2169034;6;Fagus_sylvatica
6.7110157;46.5896610;926.3666667;32;0.0000057;0.0000156;1.6287009;6;Fagus_sylvatica
6.7107591;46.5894573;920.7752688;32;0.0000008;0.0000036;0.7511505;7;Fagus_sylvatica
6.7105087;46.5896672;919.2011494;31;0.0000015;nan;0.1481644;7;Fagus_sylvatica
6.7099916;46.5899993;912.2152941;32;0.0000003;nan;0.4597969;7;Fagus_sylvatica
6.7104370;46.5896826;917.8970588;34;0.0000004;0.0000022;0.1962671;3;Fagus_sylvatica
6.7105573;46.5896328;920.2535354;34;0.0000014;nan;0.4212327;5;Fagus_sylvatica
6.7106550;46.5901841;921.2285714;34;0.0000018;0.0000018;0.3307382;4;Fagus_sylvatica
6.7100063;46.5900662;915.1764706;31;0.0000030;0.0000046;0.8441467;5;Fagus_sylvatica
6.7101543;46.5900206;914.6065934;32;0.0000005;0.0000006;0.0439835;5;Fagus_sylvatica
6.7100802;46.5900303;915.4732673;32;0.0000074;0.0000040;0.8108046;6;Fagus_sylvatica
6.7109222;46.5894198;920.4365079;33;0.0000137;0.0000058;4.4396590;6;Fagus_sylvatica
